demo run with success.

log:

#!/bin/bash
source /home/amd_clmc/team/workspace/devel/setup.bash
cd /home/amd_clmc/team/workspace/devel/lib/amd_clmc_dmp/
chmod +x amd_clmc_dmp_cart_dmp_single_traj_training_demo
./amd_clmc_dmp_cart_dmp_single_traj_training_demo /home/amd_clmc/team/workspace/devel


0.00000 0.43392 0.36852 0.40665
0.00238 0.43392 0.36852 0.40665
0.00476 0.43392 0.36852 0.40665
0.00714 0.43392 0.36852 0.40665
0.00952 0.43392 0.36852 0.40665
0.01190 0.43392 0.36852 0.40665
0.01429 0.43392 0.36852 0.40665
0.01667 0.43393 0.36852 0.40665
0.01905 0.43393 0.36852 0.40665
0.02143 0.43393 0.36852 0.40666
0.02381 0.43394 0.36852 0.40666
0.02619 0.43394 0.36852 0.40666
0.02857 0.43395 0.36852 0.40667
0.03095 0.43396 0.36852 0.40667
0.03333 0.43396 0.36852 0.40668
0.03571 0.43397 0.36852 0.40668
0.03810 0.43398 0.36852 0.40669
0.04048 0.43400 0.36852 0.40670
0.04286 0.43401 0.36852 0.40671
0.04524 0.43403 0.36851 0.40672
0.04762 0.43404 0.36851 0.40673
0.05000 0.43406 0.36851 0.40674
0.05238 0.43408 0.36851 0.40676
0.05476 0.43410 0.36851 0.40677
0.05714 0.43412 0.36850 0.40679
0.05952 0.43415 0.36850 0.40680
0.06190 0.43418 0.36850 0.40682
0.06429 0.43420 0.36850 0.40684
0.06667 0.43423 0.36849 0.40686
0.06905 0.43427 0.36849 0.40688
0.07143 0.43430 0.36849 0.40690
0.07381 0.43433 0.36848 0.40693
0.07619 0.43437 0.36848 0.40695
0.07857 0.43441 0.36848 0.40698
0.08095 0.43445 0.36847 0.40700
0.08333 0.43449 0.36847 0.40703
0.08571 0.43453 0.36846 0.40705
0.08810 0.43458 0.36846 0.40708
0.09048 0.43463 0.36845 0.40711
0.09286 0.43467 0.36845 0.40714
0.09524 0.43472 0.36845 0.40717
0.09762 0.43477 0.36844 0.40720
0.10000 0.43483 0.36844 0.40723
0.10238 0.43488 0.36843 0.40726
0.10476 0.43493 0.36842 0.40729
0.10714 0.43499 0.36842 0.40732
0.10952 0.43505 0.36841 0.40736
0.11190 0.43511 0.36841 0.40739
0.11429 0.43517 0.36840 0.40742
0.11667 0.43523 0.36840 0.40746
0.11905 0.43529 0.36839 0.40749
