demo run with success.

log:

#!/bin/bash
source /home/amd_clmc/team/workspace/devel/setup.bash
cd /home/amd_clmc/team/workspace/devel/lib/amd_clmc_dmp/
chmod +x amd_clmc_dmp_cart_dmp_multi_traj_training_demo
./amd_clmc_dmp_cart_dmp_multi_traj_training_demo /home/amd_clmc/team/workspace/devel


0.00000 0.67118 -0.19380 0.13794
0.00238 0.67118 -0.19380 0.13794
0.00476 0.67118 -0.19380 0.13795
0.00714 0.67117 -0.19380 0.13796
0.00952 0.67115 -0.19380 0.13799
0.01190 0.67112 -0.19379 0.13803
0.01429 0.67107 -0.19379 0.13809
0.01667 0.67101 -0.19377 0.13818
0.01905 0.67093 -0.19376 0.13829
0.02143 0.67082 -0.19373 0.13842
0.02381 0.67070 -0.19370 0.13858
0.02619 0.67054 -0.19366 0.13876
0.02857 0.67037 -0.19361 0.13898
0.03095 0.67016 -0.19355 0.13922
0.03333 0.66993 -0.19347 0.13949
0.03571 0.66966 -0.19338 0.13979
0.03810 0.66936 -0.19328 0.14012
0.04048 0.66902 -0.19316 0.14048
0.04286 0.66865 -0.19302 0.14087
0.04524 0.66825 -0.19286 0.14130
0.04762 0.66780 -0.19268 0.14175
0.05000 0.66731 -0.19247 0.14223
0.05238 0.66679 -0.19224 0.14275
0.05476 0.66622 -0.19199 0.14330
0.05714 0.66560 -0.19171 0.14387
0.05952 0.66494 -0.19140 0.14448
0.06190 0.66424 -0.19106 0.14512
0.06429 0.66348 -0.19069 0.14579
0.06667 0.66268 -0.19028 0.14649
0.06905 0.66184 -0.18984 0.14721
0.07143 0.66094 -0.18937 0.14797
0.07381 0.65999 -0.18886 0.14875
0.07619 0.65899 -0.18831 0.14956
0.07857 0.65794 -0.18772 0.15040
0.08095 0.65683 -0.18709 0.15126
0.08333 0.65568 -0.18642 0.15215
0.08571 0.65447 -0.18570 0.15306
0.08810 0.65321 -0.18495 0.15400
0.09048 0.65190 -0.18414 0.15496
0.09286 0.65053 -0.18330 0.15593
0.09524 0.64911 -0.18240 0.15693
0.09762 0.64764 -0.18146 0.15795
0.10000 0.64612 -0.18046 0.15898
0.10238 0.64454 -0.17942 0.16003
0.10476 0.64292 -0.17833 0.16109
0.10714 0.64124 -0.17719 0.16217
0.10952 0.63952 -0.17599 0.16326
0.11190 0.63774 -0.17474 0.16436
