demo run with success.

log:

0.00100 0.00000 0.00000 0.00000
0.00200 0.00000 0.00016 0.16154
0.00300 0.00000 0.00048 0.32113
0.00400 0.00000 0.00096 0.47876
0.00500 0.00000 0.00160 0.63441
0.00600 0.00000 0.00238 0.78808
0.00700 0.00001 0.00332 0.93975
0.00800 0.00001 0.00441 1.08940
0.00900 0.00001 0.00565 1.23702
0.01000 0.00002 0.00703 1.38259
0.01100 0.00003 0.00856 1.52611
0.01200 0.00003 0.01023 1.66755
0.01300 0.00004 0.01203 1.80689
0.01400 0.00006 0.01398 1.94412
0.01500 0.00007 0.01606 2.07922
0.01600 0.00009 0.01827 2.21217
0.01700 0.00011 0.02061 2.34295
0.01800 0.00013 0.02308 2.47153
0.01900 0.00015 0.02568 2.59789
0.02000 0.00017 0.02840 2.72200
0.02100 0.00020 0.03125 2.84384
0.02200 0.00023 0.03421 2.96338
0.02300 0.00027 0.03729 3.08057
0.02400 0.00031 0.04049 3.19540
0.02500 0.00035 0.04379 3.30782
0.02600 0.00039 0.04721 3.41780
0.02700 0.00044 0.05074 3.52529
0.02800 0.00049 0.05437 3.63026
0.02900 0.00054 0.05810 3.73266
0.03000 0.00060 0.06193 3.83245
0.03100 0.00066 0.06586 3.92957
0.03200 0.00073 0.06989 4.02398
0.03300 0.00080 0.07400 4.11562
0.03400 0.00087 0.07821 4.20444
0.03500 0.00095 0.08250 4.29038
0.03600 0.00103 0.08687 4.37338
0.03700 0.00112 0.09132 4.45338
0.03800 0.00121 0.09585 4.53032
0.03900 0.00131 0.10046 4.60412
0.04000 0.00141 0.10513 4.67473
0.04100 0.00151 0.10987 4.74208
0.04200 0.00162 0.11468 4.80609
0.04300 0.00174 0.11955 4.86669
0.04400 0.00186 0.12447 4.92381
0.04500 0.00198 0.12945 4.97738
0.04600 0.00211 0.13448 5.02733
0.04700 0.00224 0.13955 5.07358
0.04800 0.00238 0.14467 5.11605
0.04900 0.00253 0.14982 5.15468
0.05000 0.00268 0.15501 5.18939
0.05100 0.00283 0.16023 5.22012
0.05200 0.00299 0.16548 5.24680
0.05300 0.00316 0.17075 5.26936
0.05400 0.00333 0.17603 5.28775
0.05500 0.00351 0.18134 5.30191
0.05600 0.00369 0.18665 5.31179
0.05700 0.00387 0.19196 5.31736
0.05800 0.00407 0.19728 5.31856
