demo run with success.

log:

0.00000 0.67118 -0.19380 0.13794
0.00238 0.67118 -0.19380 0.13795
0.00476 0.67116 -0.19381 0.13799
0.00714 0.67113 -0.19381 0.13804
0.00952 0.67110 -0.19382 0.13812
0.01190 0.67106 -0.19383 0.13821
0.01429 0.67100 -0.19384 0.13833
0.01667 0.67093 -0.19385 0.13847
0.01905 0.67084 -0.19386 0.13863
0.02143 0.67074 -0.19387 0.13882
0.02381 0.67061 -0.19387 0.13903
0.02619 0.67047 -0.19387 0.13926
0.02857 0.67030 -0.19386 0.13953
0.03095 0.67010 -0.19384 0.13982
0.03333 0.66988 -0.19381 0.14013
0.03571 0.66962 -0.19377 0.14048
0.03810 0.66934 -0.19371 0.14086
0.04048 0.66901 -0.19363 0.14126
0.04286 0.66865 -0.19353 0.14169
0.04524 0.66825 -0.19341 0.14216
0.04762 0.66781 -0.19326 0.14265
0.05000 0.66733 -0.19309 0.14318
0.05238 0.66680 -0.19289 0.14373
0.05476 0.66622 -0.19265 0.14432
0.05714 0.66560 -0.19239 0.14494
0.05952 0.66492 -0.19209 0.14558
0.06190 0.66420 -0.19176 0.14626
0.06429 0.66342 -0.19138 0.14697
0.06667 0.66259 -0.19097 0.14771
0.06905 0.66170 -0.19052 0.14847
0.07143 0.66076 -0.19002 0.14927
0.07381 0.65977 -0.18948 0.15009
0.07619 0.65872 -0.18890 0.15093
0.07857 0.65761 -0.18827 0.15181
0.08095 0.65645 -0.18759 0.15271
0.08333 0.65523 -0.18686 0.15363
0.08571 0.65395 -0.18609 0.15457
0.08810 0.65262 -0.18526 0.15554
0.09048 0.65123 -0.18438 0.15652
0.09286 0.64978 -0.18345 0.15753
0.09524 0.64828 -0.18247 0.15855
0.09762 0.64672 -0.18143 0.15959
0.10000 0.64511 -0.18034 0.16064
0.10238 0.64345 -0.17919 0.16170
0.10476 0.64173 -0.17799 0.16278
0.10714 0.63996 -0.17673 0.16387
0.10952 0.63814 -0.17542 0.16497
0.11190 0.63627 -0.17405 0.16608
0.11429 0.63436 -0.17262 0.16719
0.11667 0.63239 -0.17114 0.16831
0.11905 0.63038 -0.16960 0.16943
0.12143 0.62832 -0.16800 0.17056
0.12381 0.62622 -0.16635 0.17168
0.12619 0.62408 -0.16464 0.17281
0.12857 0.62190 -0.16288 0.17393
