demo run with success.

log:

0.00000 0.43402 0.36855 0.40674
0.00238 0.43411 0.36857 0.40683
0.00476 0.43421 0.36859 0.40692
0.00714 0.43430 0.36861 0.40701
0.00952 0.43440 0.36863 0.40710
0.01190 0.43449 0.36865 0.40719
0.01429 0.43459 0.36867 0.40728
0.01667 0.43468 0.36869 0.40737
0.01905 0.43478 0.36871 0.40746
0.02143 0.43488 0.36873 0.40755
0.02381 0.43497 0.36874 0.40764
0.02619 0.43507 0.36876 0.40774
0.02857 0.43517 0.36878 0.40783
0.03095 0.43528 0.36880 0.40793
0.03333 0.43538 0.36881 0.40803
0.03571 0.43549 0.36883 0.40813
0.03810 0.43560 0.36885 0.40823
0.04048 0.43571 0.36886 0.40834
0.04286 0.43583 0.36888 0.40845
0.04524 0.43594 0.36889 0.40856
0.04762 0.43606 0.36890 0.40867
0.05000 0.43619 0.36892 0.40879
0.05238 0.43631 0.36893 0.40890
0.05476 0.43644 0.36894 0.40902
0.05714 0.43657 0.36895 0.40915
0.05952 0.43671 0.36896 0.40927
0.06190 0.43685 0.36897 0.40940
0.06429 0.43699 0.36898 0.40954
0.06667 0.43713 0.36899 0.40967
0.06905 0.43728 0.36899 0.40981
0.07143 0.43743 0.36900 0.40995
0.07381 0.43758 0.36901 0.41009
0.07619 0.43774 0.36901 0.41023
0.07857 0.43790 0.36901 0.41038
0.08095 0.43806 0.36901 0.41053
0.08333 0.43822 0.36901 0.41068
0.08571 0.43838 0.36901 0.41083
0.08810 0.43855 0.36901 0.41098
0.09048 0.43872 0.36900 0.41114
0.09286 0.43890 0.36900 0.41130
0.09524 0.43907 0.36899 0.41145
0.09762 0.43925 0.36898 0.41161
0.10000 0.43942 0.36897 0.41178
0.10238 0.43960 0.36896 0.41194
0.10476 0.43978 0.36895 0.41210
0.10714 0.43997 0.36894 0.41226
0.10952 0.44015 0.36892 0.41243
0.11190 0.44034 0.36891 0.41259
0.11429 0.44052 0.36890 0.41276
0.11667 0.44071 0.36888 0.41292
0.11905 0.44090 0.36886 0.41309
0.12143 0.44109 0.36885 0.41325
0.12381 0.44128 0.36883 0.41341
0.12619 0.44147 0.36881 0.41358
0.12857 0.44166 0.36879 0.41374
0.13095 0.44185 0.36877 0.41390
0.13333 0.44204 0.36876 0.41406
0.13571 0.44223 0.36874 0.41422
